Time,EEG
0,55.68191528
0.002,-54.69313049
0.004,-41.90240479
0.006,33.80004501
0.008,125.0659866
0.01,123.4533539
0.012,108.0919189
0.014,98.73161316
0.016,40.50469208
0.018,46.93924332
0.02,101.7630539
0.022,76.45011902
0.024,69.75462341
0.026,158.8678741
0.028,-4.097005367
0.03,-25.42710495
0.032,-47.33287811
0.034,-41.65805435
0.036,17.27607727
0.038,32.03372192
0.04,-41.73814011
0.042,11.68983364
0.044,5.791394234
0.046,-91.03826904
0.048,-187.3054962
0.05,-157.8935394
0.052,-179.2719727
0.054,-215.4888458
0.056,-183.2498627
0.058,-41.72565842
0.06,-54.03523254
0.062,23.14922523
0.064,-21.8470192
0.066,-55.0473671
0.068,-131.885025
0.07,-91.215065
0.072,-62.69641495
0.074,52.84550095
0.076,49.34849548
0.078,-46.29476929
0.08,-38.16363525
0.082,-21.19606972
0.084,140.4325562
0.086,82.35932159
0.088,-46.75637436
0.09,-58.09566498
0.092,-68.84197998
0.094,-0.174362004
0.096,26.13731766
0.098,9.277353287
0.1,-5.763161659
0.102,12.63487625
0.104,38.68509293
0.106,27.98562813
0.108,48.30296326
0.11,52.45631409
0.112,87.46297455
0.114,73.84308624
0.116,102.8084412
0.118,33.54613495
0.12,65.15444183
0.122,38.14014816
0.124,44.04092407
0.126,65.9493103
0.128,-20.29250526
0.13,-57.66714859
0.132,-45.54128647
0.134,-8.029250145
0.136,73.33769989
0.138,-57.7481575
0.14,-49.67941284
0.142,-65.98931122
0.144,-47.17472839
0.146,-22.61654663
0.148,-144.4061127
0.15,-139.5933228
0.152,-102.3511505
0.154,-84.44824982
0.156,-106.2358093
0.158,-110.9089584
0.16,-178.312912
0.162,-93.97451782
0.164,-204.2347107
0.166,-70.39757538
0.168,-150.060257
0.17,-107.4272766
0.172,-114.6548386
0.174,-62.99369431
0.176,-230.2088928
0.178,-271.9995422
0.18,-210.6145935
0.182,-152.0257111
0.184,-177.4852142
0.186,-209.7789001
0.188,-148.4621735
0.19,-21.35436249
0.192,-41.89911652
0.194,-97.48832703
0.196,-213.9265442
0.198,-194.3971252
0.2,-161.5032196
0.202,-201.265274
0.204,-286.6616211
0.206,-207.2363281
0.208,-99.41281128
0.21,-126.0220642
0.212,-23.78330994
0.214,0.171532273
0.216,-47.39091492
0.218,-84.26108551
0.22,-99.04134369
0.222,-78.86882782
0.224,-58.36816788
0.226,-43.47257614
0.228,-50.53313446
0.23,-119.1398392
0.232,-72.44583893
0.234,47.09494781
0.236,-61.31728363
0.238,-110.4419861
0.24,39.64859009
0.242,10.38430309
0.244,-42.34282303
0.246,-36.82403183
0.248,-11.68313217
0.25,-90.76676941
0.252,-109.0018234
0.254,-68.15259552
0.256,54.63727951
0.258,20.56918144
0.26,79.75482178
0.262,-32.38282394
0.264,-46.62327576
0.266,7.723829269
0.268,-2.942715406
0.27,-41.10393143
0.272,-86.94455719
0.274,-30.60903931
0.276,59.92002487
0.278,82.64041138
0.28,11.15809631
0.282,-86.91676331
0.284,-155.47995
0.286,-140.0272064
0.288,-140.8483734
0.29,-50.75675964
0.292,70.86533356
0.294,7.510475636
0.296,18.34104156
0.298,2.082408428
0.3,-19.76264381
0.302,-46.53688812
0.304,-128.5329742
0.306,-89.2829361
0.308,-120.9962997
0.31,-83.36448669
0.312,-108.0511017
0.314,-64.90087128
0.316,-49.03094101
0.318,-40.17840576
0.32,26.86881065
0.322,73.61090088
0.324,65.43489075
0.326,87.86076355
0.328,-43.13700485
0.33,-105.3247833
0.332,-118.5812912
0.334,71.92799377
0.336,37.12405014
0.338,-159.6346436
0.34,-106.3430862
0.342,-142.4274902
0.344,-48.7779007
0.346,41.09397125
0.348,68.04367065
0.35,-54.52080917
0.352,-1.92265594
0.354,71.26560974
0.356,136.5770874
0.358,57.90355301
0.36,-28.40097427
0.362,33.08671951
0.364,36.18435669
0.366,138.5156708
0.368,77.5047226
0.37,59.57909393
0.372,177.6960449
0.374,194.7758484
0.376,256.8670349
0.378,173.8690491
0.38,78.06838989
0.382,121.13134
0.384,152.6021423
0.386,134.2420349
0.388,112.867363
0.39,74.95198059
0.392,83.65701294
0.394,92.44620514
0.396,141.990097
0.398,74.71782684
0.4,125.8014679
0.402,94.20742035
0.404,96.09445953
0.406,114.8529129
0.408,13.57537174
0.41,-42.33304977
0.412,-15.48607635
0.414,-54.67485428
0.416,-1.558129549
0.418,-15.00154591
0.42,-22.78337288
0.422,-119.753212
0.424,6.428486824
0.426,31.18588829
0.428,68.64156342
0.43,21.88592148
0.432,-32.72137451
0.434,-122.8604507
0.436,-123.3476486
0.438,-137.5624542
0.44,-62.80897903
0.442,-59.97999573
0.444,-97.94332123
0.446,-60.10289001
0.448,-16.09888458
0.45,-47.74185562
0.452,-103.3136826
0.454,-92.79756927
0.456,-39.36007309
0.458,-4.395948887
0.46,35.49580383
0.462,48.09027481
0.464,-7.335234165
0.466,-68.05164337
0.468,-76.03601074
0.47,-76.54684448
0.472,-38.66025543
0.474,-10.56760502
0.476,-56.49637985
0.478,-60.32052612
0.48,-42.07406235
0.482,-91.36997223
0.484,-67.8039856
0.486,5.407339573
0.488,103.1087341
0.49,143.1837921
0.492,66.78490448
0.494,53.76847458
0.496,104.4653549
0.498,124.7915421
0.5,20.82365417
0.502,29.54283714
0.504,79.03207397
0.506,47.72822571
0.508,-87.16907501
0.51,-120.3326492
0.512,26.80223274
0.514,-9.493927956
0.516,101.380806
0.518,42.27696609
0.52,94.92370605
0.522,102.2711411
0.524,166.0584717
0.526,97.38220978
0.528,50.18096924
0.53,-3.025666714
0.532,-22.1774826
0.534,-0.55157584
0.536,-25.8980217
0.538,-90.22224426
0.54,-35.22935486
0.542,33.71172333
0.544,34.00510025
0.546,-44.64979553
0.548,8.54537487
0.55,-86.68251801
0.552,-28.64299965
0.554,-8.844517708
0.556,-8.228827477
0.558,-87.58956146
0.56,-140.4913177
0.562,-77.7366333
0.564,-79.32142639
0.566,-52.38210678
0.568,-55.11772537
0.57,-99.07616425
0.572,-159.9495087
0.574,-191.4696198
0.576,-126.6215897
0.578,-67.99517059
0.58,-52.40884781
0.582,-43.01254272
0.584,-146.8773651
0.586,-90.91941071
0.588,-7.4797616
0.59,58.2401619
0.592,96.7095108
0.594,51.72777557
